Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
82	21	0.0984	3.28	423.155933	423.155538	423.155136	423.155933	0.000796927339	0.000205722467	0	25.8	1.73385	0	0	3
83	21	0.0996	3.32	423.155994	423.155604	423.155206	423.155994	0.000787550832	0.000205664827	0	26.1	1.74576	0	0	3
84	21	0.1008	3.36	423.15606	423.155669	423.15527	423.15606	0.000790199629	0.000205582032	0	26	1.75855	0	0	3
85	21	0.102	3.4	423.156121	423.155735	423.155338	423.156121	0.0007823122	0.000205457735	0	26.2	1.77004	0	0	3
86	22	0.1032	3.44	423.156189	423.1558	423.155409	423.156189	0.000779108715	0.000205315995	0	26.3	1.77268	0	0	3
87	22	0.1044	3.48	423.15625	423.155865	423.155474	423.15625	0.00077593681	0.000205140994	0	26.4	1.79293	0	0	3
88	22	0.1056	3.52	423.156319	423.15593	423.155542	423.156319	0.000777188791	0.000204948608	0	26.3	1.7982	0	0	3
89	23	0.1068	3.56	423.156382	423.155995	423.155605	423.156382	0.000776370323	0.000204726917	0	26.3	1.81579	0	0	3
90	23	0.108	3.6	423.156451	423.15606	423.155673	423.156451	0.000778120983	0.000204493544	0	26.2	1.82358	0	0	3
91	23	0.1092	3.64	423.156518	423.156125	423.155736	423.156518	0.000782400835	0.000204253992	0	26.1	1.82982	0	0	3
92	23	0.1104	3.68	423.156587	423.15619	423.155803	423.156587	0.000783406174	0.000204015924	0	26	1.84866	0	0	3
93	24	0.1116	3.72	423.156654	423.156256	423.155865	423.156654	0.000784870488	0.000203778485	0	25.9	1.84704	0	0	3
94	24	0.1128	3.76	423.156723	423.156322	423.155933	423.156723	0.000783750299	0.000203537199	0	25.9	1.86965	0	0	3
95	24	0.114	3.8	423.156792	423.156388	423.155994	423.156792	0.000783870312	0.000203300323	0	25.9	1.87343	0	0	3
96	24	0.1152	3.84	423.156864	423.156455	423.15606	423.156864	0.00078511127	0.000203083143	0	25.8	1.88349	0	0	3
97	25	0.1164	3.88	423.156936	423.156522	423.156121	423.156936	0.000787003575	0.000202877282	0	25.7	1.89172	0	0	3
98	25	0.1176	3.92	423.157008	423.15659	423.156189	423.157008	0.00078987831	0.000202679775	0	25.6	1.90715	0	0	3
99	25	0.1188	3.96	423.157081	423.156659	423.15625	423.157081	0.000793842561	0.000202500012	0	25.5	1.90793	0	0	3
100	25	0.12	4	423.157154	423.156728	423.156319	423.157154	0.000798370621	0.000202333545	0	25.3	1.91829	0	0	3
